"","poll_id","pollster","state","office_type","seat_name","contest","start_date","middle_date","end_date","sample_size","size_weight","grade_weight","date_weight","MARGIN","dem_candidate","rep_candidate"
"1",88219,"U. New Hampshire","New Hampshire","U.S. House","District 1","U.S. House District 1",2024-09-12,2024-09-14,2024-09-16,773,0.901333163353601,3.1,0.28,-17,"Pappas","Prescott"
"2",88163,"St. Anselm","New Hampshire","U.S. House","District 1","U.S. House District 1",2024-09-11,2024-09-11,2024-09-12,1130,1.08976994298751,2.9,0.21,-12,"Pappas","Prescott"
"3",88219,"U. New Hampshire","New Hampshire","U.S. House","District 2","U.S. House District 2",2024-09-12,2024-09-14,2024-09-16,785,0.909977511661666,3.1,0.28,-11,"Goodlander","Williams"
"4",88163,"St. Anselm","New Hampshire","U.S. House","District 2","U.S. House District 2",2024-09-11,2024-09-11,2024-09-12,1111,1.08256220526584,2.9,0.21,-11,"Goodlander","Williams"
"5",88219,"U. New Hampshire","New Hampshire","Governor",NA,"Governor",2024-09-12,2024-09-14,2024-09-16,1695,1.13923485243588,3.1,0.28,-1,"Craig","Ayotte"
"6",88163,"St. Anselm","New Hampshire","Governor",NA,"Governor",2024-09-11,2024-09-11,2024-09-12,2241,1.30993377432171,2.9,0.21,3,"Craig","Ayotte"
"7",84684,"Emerson","New Hampshire","Governor",NA,"Governor",2023-11-10,2023-11-12,2023-11-13,917,0.837940302763512,3.4,0,3.5,"Craig","Ayotte"
"8",83402,"Emerson","New Hampshire","Governor",NA,"Governor",2023-08-09,2023-08-10,2023-08-11,837,0.800554937696049,3.4,0,8.9,"Craig","Ayotte"
"9",88219,"U. New Hampshire","New Hampshire","U.S. President",NA,"U.S. President",2024-09-12,2024-09-14,2024-09-16,1695,0.909745414250602,3.1,0.28,-11,"Harris","Trump"
"10",88163,"St. Anselm","New Hampshire","U.S. President",NA,"U.S. President",2024-09-11,2024-09-11,2024-09-12,2241,1.04605845020725,2.9,0.21,-8,"Harris","Trump"
"11",87856,"U. New Hampshire","New Hampshire","U.S. President",NA,"U.S. President",2024-08-15,2024-08-17,2024-08-19,2048,1,3.1,0.01,-6,"Harris","Trump"
"12",87789,"St. Anselm","New Hampshire","U.S. President",NA,"U.S. President",2024-08-13,2024-08-13,2024-08-14,1656,0.899218410621135,2.9,0.01,-7,"Harris","Trump"
"13",87635,"Emerson","New Hampshire","U.S. President",NA,"U.S. President",2024-07-26,2024-07-27,2024-07-28,1000,0.698771242968684,3.4,0,-5.55,"Harris","Trump"
"14",87559,"U. New Hampshire","New Hampshire","U.S. President",NA,"U.S. President",2024-07-23,2024-07-24,2024-07-25,2875,1.18482428813305,3.1,0,-6.5,"Harris","Trump"
"15",87560,"St. Anselm","New Hampshire","U.S. President",NA,"U.S. President",2024-07-24,2024-07-24,2024-07-25,2083,1.00850872269406,2.9,0,-6,"Harris","Trump"
"16",87509,"Praecones Analytica","New Hampshire","U.S. President",NA,"U.S. President",2024-07-19,2024-07-20,2024-07-21,601,0.541716744479991,2.5,0,0.900000000000006,"Harris","Trump"
